Selecione de qual grupo PET faz parte:	GRR	1. Qual a frequência da tutora ou do tutor nas reuniões do grupo?	2. Qual a frequência da tutora ou do tutor nos eventos/atividades do PET?	 3. A tutora ou o tutor incentiva a participação em eventos nacionais e regionais do PET?	 4. A tutora ou o tutor cumpre com seus afazeres dentro dos prazos?	5. Quão disponível é a tutora ou o tutor para fazer orientação individualizada sobre aspectos acadêmicos e pessoais as alunas e os alunos?	6. A aplicação da verba de custeio é discutida com o grupo?	7. A tutora ou o tutor participa e não apenas delega tarefas?	8. A tutora ou o tutor compartilha as normativas do programa com as alunas e os alunos, bem com atualizações referentes ao programa?	9. A tutora ou o tutor respeita ideologias que diferem das suas, desde que não firam princípios contidos na declaração de direitos humanos bem como na constituição da República Federativa do Brasil?	10. A tutora ou o tutor é receptivo a sugestões das e dos petianos para projetos de ensino, pesquisa e extensão do grupo?	11. A tutora ou o tutor planeja as atividades do grupo juntamente com os petianos?	 12. A tutora ou o tutor supervisiona e orienta as ações dos integrantes do grupo?	13. A tutora ou o tutor promove discussões sobre condutas éticas que auxiliem na formação do petianos?	14. A tutora ou o tutor aplica adequadamente as consequências previstas para o descumprimento das obrigações do termo de compromisso e tarefas designadas por deliberações coletivas do grupo?	15. A tutora ou o tutor, de alguma forma, favorece alguma ou algum petiano em detrimento de outros?	16. A tutora ou o tutor se mostra proativo para buscar, junto a instâncias superiores e colegas de trabalho, soluções para suprir demandas materiais e administrativas do grupo?	17. Avalie outras dimensões, categorias ou indicadores ou faça comentários adicionais.	18. Avalie esse instrumento.
Engenharia Florestal	20153994	Frequentemente	Frequentemente	Frequentemente	Raramente	Às vezes	Frequentemente	Frequentemente	Às vezes	Frequentemente	Frequentemente	Frequentemente	Às vezes	Às vezes	Raramente	Raramente	Frequentemente		
Engenharia Química	20151610	Sempre	Não sei	Sempre	Sempre	Não sei	Sempre	Sempre	Não sei	Sempre	Sempre	Frequentemente	Frequentemente	Não sei	Não sei	Nunca	Frequentemente		Efetivo
Engenharia Industrial Madeireira	20144150	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Não se aplica	Não se aplica		
Ciência da Computação	20132356	Frequentemente	Não sei	Sempre	Frequentemente	Não sei	Sempre	Sempre	Nunca	Sempre	Sempre	Às vezes	Frequentemente	Às vezes	Frequentemente	Nunca	Sempre		
Psicologia	GRR20141780	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Não se aplica	Não se aplica	Sempre	Não tenho certeza de algumas de minhas respostas pois faz menos de um mês que entrei no PET Psicologia.	Acho que avalia de maneira clara e concisa aspectos fundamentais para que haja uma boa tutoria.
Educação Física	20162522	Frequentemente	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Às vezes	Sempre	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Não se aplica	Sempre		
Engenharia Civil	20162682	Frequentemente	Não se aplica	Não se aplica	Não sei	Frequentemente	Sempre	Frequentemente	Não se aplica	Sempre	Frequentemente	Sempre	Frequentemente	Não se aplica	Não se aplica	Não sei	Sempre	Como nosso tutor está em sua função há apenas algumas semanas, foi dificil avaliar alguns critérios questionados aqui. Ainda não temos conhecimento suficiente para avaliá-lo em sua função. 	
Engenharia Industrial Madeireira	20131940	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Frequentemente	Sempre	Às vezes	Sempre	Não se aplica	Otimo
Geologia	20143499	Sempre	Sempre	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Nunca	Sempre	"O Elvo é um tutor que visivelmente veste a camisa da causa PET. Sempre presente nas reuniões do CLAA, JOPARPET, SULPET e ENAPET (este quando a logística colabora), nunca deixando o PET Geologia ou a UFPR na mão. Além disso, adota uma política de integrante do grupo e não de distribuidor de tarefas, estimula a autogestão e a horizontalidade, o que permite o desenvolvimento da liderança entre os petianos.

Como ele mesmo gosta de frisar e segue religiosamente, o tutor deve ser o interlocutor entre as instâncias superiores e os grupos PET, intervindo quando necessário e quando há desvios em relação aos objetivos do Programa."	"Vejo a avaliação como imprescindível, dar voz aos petianos é tão importante quanto ouvir os tutores. É através do fortalecimento deste método que solidificaremos uma base forte para os grupos PET da UFPR.

Apenas uma observação: talvez a questão 15 em meio a tantas outras questões ""mais positivas"" engane os que não fizerem uma leitura mais aguçada."
Engenharia Civil	20148326	Sempre	Às vezes	Não se aplica	Sempre	Sempre	Sempre	Sempre	Não se aplica	Sempre	Sempre	Não se aplica	Frequentemente	Nunca	Nunca	Nunca	Sempre	Embora nosso tutor seja novo, ele está trazendo muitas ideias para o grupo. A troca compulsória nos 6 anos trouxe vários benefícios ao grupo e deu uma boa renovada no ar.	"O instrumento é bom. Não entendi a seguinte pergunta:
A tutora ou o tutor aplica adequadamente as consequências previstas para o descumprimento das obrigações do termo de compromisso e tarefas designadas por deliberações coletivas do grupo? *

Isso seria utilizado para obrigar o tutor a punir seus alunos em casos de, por exemplo, IRA menos do que o estipulado? Particularmente sou contra isso. Bem como toda a assembleia de 600 pessoas do SulPET. E a do ENAPET."
Química	20154983	Sempre	Às vezes	Sempre	Sempre	Raramente	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Frequentemente	Nunca	Frequentemente		
Geologia	20152041	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Sempre	Nunca	Sempre		8.8
Educação Física	20136064	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Raramente	Frequentemente		ótimo
Estatística	20160210	Sempre	Sempre	Frequentemente	Às vezes	Frequentemente	Sempre	Frequentemente	Sempre	Às vezes	Frequentemente	Sempre	Frequentemente	Às vezes	Frequentemente	Não sei	Frequentemente		Talvez faltem perguntas para avaliar relacionamento individual entre petiano/tutor
Filosofia	20151912	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Às vezes	Frequentemente	Nunca	Frequentemente		
Engenharia Química	20162085	Sempre	Às vezes	Sempre	Sempre	Não sei	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Às vezes	Raramente	Não se aplica	Nunca	Sempre		
Engenharia Civil	20153501	Frequentemente	Frequentemente	Não se aplica	Sempre	Frequentemente	Sempre	Sempre	Não se aplica	Sempre	Sempre	Sempre	Às vezes	Frequentemente	Não se aplica	Nunca	Sempre	Apesar de ser novo como tutor, já se mostra muito interessado com o Programa e de se envolver nas atividades do grupo. É bastante solicito e já trouxe diversas ideias interessantes.	"O questionário está bem elaborado. Mesmo assim, sugiro a adição de uma pergunta: ""O tutor incentiva a participação em eventos PET da UFPR, como o InterPET, e que os petianos interajam com os outros grupos?""."
Direito	20140325	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Nunca	Sempre		
Engenharia Civil	20152743	Frequentemente	Frequentemente	Não se aplica	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Frequentemente	Nunca	Frequentemente		
Matemática	20159144	Sempre	Frequentemente	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Frequentemente	Frequentemente	Frequentemente	Às vezes	Nunca	Frequentemente		
Engenharia Industrial Madeireira	20131998	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Nunca	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Não se aplica	Sempre		Ótimo
Ciência da Computação	20167818	Sempre	Não sei	Não sei	Sempre	Sempre	Não se aplica	Frequentemente	Não sei	Não sei	Sempre	Sempre	Não sei	Raramente	Sempre	Nunca	Às vezes		
História	20143601	Sempre	Não sei	Não sei	Não sei	Não sei	Não sei	Nunca	Não sei	Raramente	Às vezes	Nunca	Às vezes	Nunca	Não sei	Não sei	Não sei	"O atual tutor causa enorme desconforto e desaprovação na grande maioria do grupo, por vários motivos: 1. antes de ser tutor, promovia uma campanha de difamação ao PET e às duas tutoras antecessoras a ele 2. durante todo o processo seletivo assediou a ex-tutora, chegando a impugnar a primeira banca avaliadora alegando ""inimizade pública"" com ela 3. na sua gestão até agora dedica a maior parte do tempo da reunião a desprezar atividades anteriores do PET, realizadas durante a gestão da ex-tutora 4. apresentou um projeto no processo de seleção que consistia basicamente em transformar o PET em seu currículo pessoal, atendendo aos seus interesses acadêmicos pessoais e ignorando quase tudo que o PET vinha fazendo até então 5. diversas vezes, antes e depois de tutor, expressou comportamentos em sala de aula e redes sociais consideradas imorais e preconceituosas pelo conjunto dos estudantes, especialmente por parte das meninas, que se sentem especialmente desconfortáveis diante dele  6. é visivelmente descompensado psicologicamente, já teve momentos de raiva ou cinismos extremos e assustadores no PET e em outros ambientes da universidade "	Bom, fico contente que exista 
Educação Física	20142047	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Sempre	Sempre	Sempre	Nunca	Sempre		Objetivo 
Matemática	GRR20160274	Sempre	Sempre	Sempre	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Frequentemente	Não sei	Nunca	Sempre		
Engenharia Civil	20143194	Frequentemente	Não se aplica	Não se aplica	Sempre	Sempre	Sempre	Frequentemente	Não se aplica	Sempre	Sempre	Não se aplica	Sempre	Não se aplica	Não se aplica	Raramente	Frequentemente	Grande preocupação com a educação da Engenharia e um pensamento muito alinhado ao do grupo, porém muito novo. Muitos pontos não se aplicaram a ele.	Bastante interessante. Um espaço bem completo para apresentar a opinião dos petianos e petianas.
Matemática	GRR20160279	Sempre	Sempre	Sempre	Sempre	Não sei	Frequentemente	Sempre	Frequentemente	Não sei	Sempre	Frequentemente	Frequentemente	Não se aplica	Não sei	Nunca	Sempre		
Matemática	20160249	Sempre	Frequentemente	Não se aplica	Frequentemente	Sempre	Sempre	Às vezes	Às vezes	Frequentemente	Frequentemente	Sempre	Sempre	Raramente	Frequentemente	Não sei	Sempre		
Matemática	20160254	Sempre	Sempre	Frequentemente	Sempre	Frequentemente	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Frequentemente	Às vezes	Não sei	Nunca	Sempre		
Engenharia Civil	20162708	Sempre	Frequentemente	Sempre	Sempre	Sempre	Sempre	Sempre	Às vezes	Sempre	Sempre	Sempre	Frequentemente	Raramente	Às vezes	Não se aplica	Frequentemente		
